Job Name,Company,Salary,Link
Technical Writer,Cobo (100+ Staff),"$2,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2098
Risk Control Manager,MEXC (100+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2096
Backend Engineer,MaskEX (100+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2095
Product Manager,Cobo (100+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2094
Senior Product Manager,OpenBlock (10+ Staff),"$4,500 - $7,500 / month",https://www.dejob.top/jobDetail?id=2092
Senior Product Manager,OpenBlock (10+ Staff),"$4,500 - $7,500 / month",https://www.dejob.top/jobDetail?id=2091
Marketing Specialist,TronDao (100+ Staff),"$4,500 - $6,000 / month",https://www.dejob.top/jobDetail?id=2090
Blockchain Engineer,Zapry (10+ Staff),"$3,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2089
Business Development Lead,Litentry (10+ Staff),"$4,500 - $7,000 / month",https://www.dejob.top/jobDetail?id=2088
Javascript Engineer,YAX (30+ Staff),"$4,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2087
Business Development,Binance (100+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2086
Test Engineer,SingularLabs (10+ Staff),"$1 - $1,000 / month",https://www.dejob.top/jobDetail?id=2085
Growth Manager,OAK Network (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2084
React Engineer,OAK Network (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2082
App Developer,Cobo (100+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2081
Blockchain Engineer,Apus Network (1-5 Staff),"$500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2079
Head of Operations,OpenBlock (10+ Staff),"$4,000 - $7,500 / month",https://www.dejob.top/jobDetail?id=2078
Javascript Engineer,MiixCapital (10+ Staff),"$3,500 - $5,000 / month",https://www.dejob.top/jobDetail?id=2077
Head of Operations,MiixCapital (10+ Staff),"$3,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2076
Customer Service,Alchemy Pay (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=863
Business Development,Gate io  (100+ Staff),"$1 - $4,500 / month",https://www.dejob.top/jobDetail?id=2075
Business Development Lead,Gate io  (100+ Staff),"$1 - $8,000 / month",https://www.dejob.top/jobDetail?id=2074
Marketing Manager,Gate io  (100+ Staff),"$1 - $5,500 / month",https://www.dejob.top/jobDetail?id=2073
Product Manager,Adot (10+ Staff),"$2,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2072
Android Engineer,Mask Network (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2071
QA Tester,Gate io  (100+ Staff),"$1,400 - $2,000 / month",https://www.dejob.top/jobDetail?id=2070
IOS Engineer,Gate io  (100+ Staff),"$2,100 - $3,500 / month",https://www.dejob.top/jobDetail?id=2069
Business Development,Adot (10+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2068
Developer Relations Engineer,Agoric (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2067
Brand Designer,Starcoin （Westar Labs） (10+ Staff),"$1,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2066
Event Planning,Step Finance (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2065
Growth Hacker,LiveArt (10+ Staff),"$2,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2064
Test Engineer,CIAN (30+ Staff),"$1,200 - $1,500 / month",https://www.dejob.top/jobDetail?id=2063
Product Manager,Gate io  (100+ Staff),"$1,500 - $2,500 / month",https://www.dejob.top/jobDetail?id=2062
Operation Manager,Biteye (5+ Staff),"$1,400 - $2,800 / month",https://www.dejob.top/jobDetail?id=2061
Frontend Engineer,Gate io  (100+ Staff),"$1,600 - $2,800 / month",https://www.dejob.top/jobDetail?id=2060
Marketing Associate,Mask Network (100+ Staff),"$2,000 - $3,500 / month",https://www.dejob.top/jobDetail?id=2059
Operations and Maintenance Engineer,DEKUBE (30+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2058
Frontend Engineer,DEKUBE (30+ Staff),"$2,500 - $4,200 / month",https://www.dejob.top/jobDetail?id=2057
Test Development Engineer,DEKUBE (30+ Staff),"$2,000 - $3,500 / month",https://www.dejob.top/jobDetail?id=2056
Social Media Manager,PlanX (30+ Staff),"$700 - $1,500 / month",https://www.dejob.top/jobDetail?id=2055
Social Media Manager,PlanX (30+ Staff),"$700 - $1,500 / month",https://www.dejob.top/jobDetail?id=2054
Head of Trading,Lbank (100+ Staff),"$30,000 - $40,000 / month",https://www.dejob.top/jobDetail?id=2053
User Growth Operation,krpbit (30+ Staff),"$2,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2052
Software Engineer,Akash Network (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2051
Data Analyst,Step Finance (30+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2050
Content Creator,Step Finance (30+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2049
Journalist,Step Finance (30+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2048
Developer Relations,Pyth Network  (30+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2047
Frontend Engineer,PublicAI (10+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2046
